,CVE_ENT,CVE_MUN,POB
762,15,034,10827.0
763,15,041,6475.0
764,15,079,14323.0
765,15,123,28822.0
766,15,114,108196.0
767,15,085,66414.0
768,15,088,104677.0
769,15,099,277562.0
770,15,030,27692.0
771,15,081,547503.0
772,15,089,11359.0
773,15,090,90518.0
774,15,003,49266.0
775,15,005,174587.0
776,15,068,30785.0
777,15,063,36223.0
778,15,113,69086.0
779,15,112,51498.0
780,15,111,53275.0
781,15,028,30045.0
782,15,075,29182.0
783,15,091,65459.0
784,15,121,555163.0
785,15,122,391731.0
786,15,108,157645.0
787,15,006,12694.0
788,15,012,12984.0
789,16,088,114513.0
790,16,054,7983.0
791,16,055,45732.0
792,16,061,24774.0
793,16,099,14329.0
794,16,075,78935.0
795,16,076,78477.0
796,16,033,21466.0
797,16,035,30627.0
798,16,036,11644.0
799,16,037,7945.0
800,16,038,41973.0
801,16,039,9015.0
802,16,040,18385.0
803,16,041,16043.0
804,16,042,14302.0
805,16,049,19086.0
806,16,050,89311.0
807,16,051,13983.0
808,16,052,196003.0
809,16,053,849053.0
810,16,014,17022.0
811,16,015,19633.0
812,16,016,20965.0
813,16,017,35070.0
814,16,011,11681.0
815,16,010,20332.0
816,16,113,26213.0
817,16,110,49005.0
818,16,109,3232.0
819,16,108,204860.0
820,16,107,76829.0
821,16,106,32303.0
822,16,112,157056.0
823,16,009,36268.0
824,16,008,24676.0
825,16,007,3529.0
826,16,006,126191.0
827,16,005,10892.0
828,16,004,14943.0
829,16,003,23000.0
830,16,002,14754.0
831,16,111,18402.0
832,16,101,8855.0
833,16,100,14911.0
834,16,095,12325.0
835,16,094,6420.0
836,16,093,28556.0
837,16,092,12836.0
838,16,034,125712.0
839,16,089,24074.0
840,16,085,35256.0
841,16,084,31716.0
842,16,105,20982.0
843,16,074,10553.0
844,16,073,27176.0
845,16,071,69260.0
846,16,018,9484.0
847,16,019,20198.0
848,16,020,29910.0
849,16,103,23469.0
850,16,021,13539.0
851,16,022,25138.0
852,16,067,16621.0
853,16,072,13961.0
854,16,086,15534.0
855,16,087,15589.0
856,16,070,15503.0
857,16,069,106490.0
858,16,068,29389.0
859,16,066,98382.0
860,16,065,39657.0
861,16,064,26832.0
862,16,063,14889.0
863,16,062,21028.0
864,16,060,9437.0
865,16,059,9027.0
866,16,058,20981.0
867,16,057,8196.0
868,16,090,16325.0
869,16,091,14934.0
870,16,046,14936.0
871,16,047,19834.0
872,16,048,5745.0
873,16,096,5971.0
874,16,097,29056.0
875,16,056,32598.0
876,16,102,356786.0
877,16,024,20586.0
878,16,098,25757.0
879,16,031,16112.0
880,16,012,45538.0
881,16,080,19833.0
882,16,032,15715.0
883,16,001,11301.0
884,16,043,68781.0
885,16,044,12946.0
886,16,045,36158.0
887,16,081,9076.0
888,16,082,79540.0
889,16,083,33453.0
890,16,013,9176.0
891,16,077,17677.0
892,16,104,15864.0
893,16,079,49896.0
894,16,078,12812.0
895,16,023,10417.0
896,16,025,40560.0
897,16,026,4773.0
898,16,027,4944.0
899,16,028,5233.0
900,16,029,12342.0
901,16,030,11850.0
902,17,006,187118.0
903,17,003,39174.0
904,17,021,7617.0
905,17,030,56083.0
906,17,027,12750.0
907,17,008,107053.0
908,17,023,7943.0
909,17,004,89834.0
910,17,007,378476.0
911,17,031,36094.0
912,17,020,54987.0
913,17,019,28122.0
914,17,005,10520.0
915,17,012,57682.0
916,17,017,40018.0
917,17,009,24515.0
918,17,015,15802.0
919,17,013,16694.0
920,17,011,215357.0
921,17,032,9965.0
922,17,014,9653.0
923,17,024,52399.0
924,17,018,122263.0
925,17,029,105780.0
926,17,016,19219.0
927,17,034,11347.0
928,17,033,16574.0
929,17,035,27805.0
930,17,022,14853.0
931,17,025,33789.0
932,17,036,7855.0
933,17,001,17598.0
934,17,028,73539.0
935,17,010,18402.0
936,17,026,19408.0
937,17,002,25232.0
938,18,014,24911.0
939,18,008,65229.0
940,18,020,187632.0
941,18,003,11536.0
942,18,007,19321.0
943,18,006,29299.0
944,18,005,12230.0
945,18,019,13719.0
946,18,012,41518.0
947,18,018,30064.0
948,18,017,425924.0
949,18,011,24096.0
950,18,010,33567.0
951,18,009,47550.0
952,18,004,77436.0
953,18,002,15393.0
954,18,001,37232.0
955,18,013,7683.0
956,18,016,37135.0
957,18,015,93981.0
958,19,039,1142994.0
959,19,018,397205.0
960,19,006,656464.0
961,19,016,3256.0
962,19,010,104478.0
963,19,020,5506.0
964,19,019,132169.0
965,19,021,481213.0
966,19,048,306322.0
967,19,011,7340.0
968,19,022,14109.0
969,19,008,3661.0
970,19,001,2974.0
